Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Hasbro Toy Manufacturer,,Pune,Oliphabs Capital,Private Equity,"20,00,000"
Travel Tech,,Gurgaon,MakeMyTrip,Private Equity,"50,00,000"
Beauty and Wellness Platform,,New Delhi,Aprameya Radhakrishna,Seed Funding,
Healthy Food Manufacturer,,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"60,00,000"
Used Car Marketplace,,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"5,00,000"
Online Learning Platform,,New Delhi,InfoEdge,Private Equity,"40,00,000"
Healthy Food Online Community,,New Delhi,Group of 15 Angel Investors,Seed Funding,"3,50,000"
Used two-wheeler Marketplace,,Mumbai,GrowthStory,Seed Funding,
Online Fashion Video Portal,,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"10,00,000"
Probiotic Technology Products Manufacturer,,Chennai,Infuse Ventures,Private Equity,"5,50,000"
Architectural Design & Consulting,,Hyderabad,Srinivas Tirupati,Seed Funding,"5,00,000"
Big Data & Analytics Services,,Pune / US,Carrick Capital Partners,Private Equity,"3,50,00,000"
Preventive Healthcare Services,,Pune,Mumbai Angels & Other angel investors,Seed Funding,"3,50,000"
Tech-enabled Rural Healthcare Services,,Udaipur,Ennovent Impact Investment Holding,Private Equity,
Engineering Innovations,,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,
Real Estate Intelligence Platform,,Mumbai,DMG Information,Private Equity,"30,00,000"
Online Car Rental Affiliates,,New Delhi,Green House Ventures,Seed Funding,"1,00,000"
Data Center Software platform,,Pune / US,Nexus Venture Partners,Private Equity,"1,50,00,000"
Online City & Lifestyle Guide,,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"1,50,000"
P2P Payments platform,,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,\\xc2\\xa0 Arjun Malhotra, Gautam Gandhi",Seed Funding,
Bespoke Merchandize Marketplace,,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"2,50,000"
Women Lifestyle Marketplace,,Gurgaon,Ratan Tata,Seed Funding,
Logistics Solution Provider,,New Delhi,Warburg Pincus,Private Equity,"13,70,00,000"
Video Intelligence Platform,,Noida,Bessemer Venture Partners,Private Equity,"10,00,000"
Hyperlocal Shopping App,,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,"2,00,00,000"
eCommerce platform,,Bangalore,Morgan Stanley,Private Equity,"5,00,00,000"
Renewable energy solutions,,Mumbai,,Seed Funding,"5,00,000"
Healthcare\\nService provider,,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"1,00,00,000"
Auto Rickshaw Based Services,,Chandigarh,"Snow Leopard, Paytm",Private Equity,"50,00,000"
Artist / Designer Marketplace,,New Delhi,"Natarajan Iyer,Rajesh Sawhney,\\xc2\\xa0 & other Angel investors.",Seed Funding,
Off-grid Solar Power,,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"4,00,00,000"
Private Label lingerie Ecommerce,,New Delhi,IvyCap Ventures,Private Equity,"50,00,000"
Online Food Ordering,,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"1,65,00,000"
Mobile Commerce Platform,,Gurgaon,Group of Angel Investors,Seed Funding,"2,34,000"
Online Printing Services,,New Delhi,SIDBI Venture Capital Ltd,Private Equity,
Digital Marketing Services,,Bangalore,KCL,Seed Funding,"1,40,000"
Travel Guide Mobile App,,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,
Fashion Ecommerce store,,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"50,00,000"
Mobile Compression Software,,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,"3,50,000"
Peer to Peer Lending platform,,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"2,50,000"
Global Healthcare products,,Ahmedabad,Sequoia Capital,Private Equity,"1,60,00,000"
Home Furnishing Solutions,,Bangalore,Sequoia Capital,Private Equity,"5,00,00,000"
Skill Training & Placement Platform,,Bangalore,Unitus Seed Fund,Private Equity,
Intra-City Logistics service,,Bangalore,i2india Pvt Ltd,Seed Funding,"5,00,000"
online tiffin service aggregator,,Mumbai,Group of angel investors,Seed Funding,
Electronic Goods recycling service,,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,
Online Coupon & comparison platform,,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"5,00,000"
Parents & Kids Online platform,,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,
Online Grocery platform,,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,
Dental Clinic chain,,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"82,00,000"
On-Demand Logistics Service,,New Delhi,YouWeCan Ventures,Seed Funding,
3D Printer Manufacturer,,Bangalore,Neoteric Infomatique Limited,Private Equity,"30,00,000"
IT / Customer Engagement Consulting,,Mumbai,ASK Pravi,Private Equity,"50,00,000"
Health & Fitness App,,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,
Online Education Marketplace,,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,
Home services marketplace,,Bangalore,Matrix Partners,Private Equity,"40,00,000"
Financial Services Platform,,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"1,10,00,000"
Social Network for Artists,,Bangalore,Group of Angel Investors from US/India,Seed Funding,"1,20,000"
Startup funding platform,,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"1,00,00,000"
Food Delivery Platform,,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"31,00,000"
Data Driven recruitment recommendation,,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"50,00,000"
Travel Search Engine,,Gurgaon,Micromax Informatics,Private Equity,
Brain Games Platform,,Chennai,Sprout Angels LLP,Seed Funding,
Video Advertisement Platform,,Bangalore,AngelPrime,Seed Funding,"5,00,000"
Algorithmic Match Making Platform,,New Delhi / California,Dr David Cheriton,Seed Funding,
Mobile Chat based concierge service,,New Delhi,Sequoia Capital,Private Equity,"16,00,000"
Online Budget Hotel Booking Service,,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"60,00,000"
Online education marketplace,,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"10,00,000"
Preventive healthcare services,,Hyderabad,YouWeCan Ventures,Seed Funding,
Science Learning App,,Bangalore,Unitus Seed Fund,Seed Funding,
Beauty and Wellness platform,,Chennai,Chennai Angels,Seed Funding,
Online Education Platform,,Noida,Oliphans Capital,Seed Funding,
SaaS product intelligence platform,,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"1,50,00,000"
Logistics Tech,,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"55,00,000"
App Analytics platform,,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"5,00,000"
Micro Finance Platform,,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"86,00,000"
Freight logistics platform,,Bangalore,"Accel Partners, Flipkart",Private Equity,"60,00,000"
Credit Management Services,,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"25,00,000"
Hyperlocal Handyman Services,,Mumbai,Undisclosed investors,Seed Funding,"2,50,000"
Hyperlocal services marketplace,,New Delhi,"SAIF Partners,\\xc2\\xa0 Accel Partners",Private Equity,"1,00,00,000"
Beauty services Mobile Marketplace,,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,
Marketing / Advertising Automation platform,,Bangalore,Mape Advisory,Seed Funding,"10,00,000"
Hyperlocal Handyman Services,,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"4,00,000"
Online Lingerie platform,,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,
Railways Information Mobile app,,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,
Hyperlocal grocery delivery,,Gurgaon,Group of Investors,Seed Funding,
Flat rental Mobile App,,Bangalore,Commonfloor,Private Equity,"25,00,000"
Wealth Management Platform,,Mumbai,Sameer Koticha,Private Equity,"15,00,000"
Online Food Delivery,,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,"10,00,00,000"
Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"1,00,000"
Workforce Management Software,,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"5,50,000"
Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,"2,00,000"
Online Food Delivery,,Bangalore,SAIF Partners,Seed Funding,"10,00,000"
Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,"6,50,000"
Career Development,,Hyderabad,Acumen Fund,Seed Funding,"2,50,000"
Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,"60,00,000"
Banking Analytics Platform,,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"1,50,00,000"
Customer Engagement Platform,,Mumbai,Vishwas Patel,Seed Funding,
Ecommerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"8,50,00,000"
Online Food Delivery,,Bangalore,Norwest Venture Partners,Private Equity,"1,50,00,000"
Speech Recognition Solutions,,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,
Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,"35,00,000"
Online Education Platform,,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,"1,00,00,000"
Online Education Platform,,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"50,00,000"
Online Product Comparison,,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"10,00,000"
Online Education Platform,,New Delhi,Aarin Capital Partners,Seed Funding,
Online Security Platform,,Pune,Exfinity Ventures,Private Equity,"20,00,000"
Online Medical Diagnostic,,New Delhi,Florida based Angel investor,Seed Funding,"1,50,000"
Health & Fitness App,,Bangalore,Micromax Informatics,Private Equity,
Cloud Data Integration Platform,,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"20,00,000"
Mobile Laundry Cleaning Service,,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"20,00,000"
Mobile Fitness App,,Goa,Prototyze,Seed Funding,
Online Education Platform,,Mumbai,"Rajendra Gogri,\\xc2\\xa0 Chandrakant Gogri",Seed Funding,"20,00,000"
Service-On-Demand Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,
Intelligent Data Analytics,,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,
Online Office Rental,,Mumbai,Lead Angels,Seed Funding,
Lifestyle Ecommerce Portal,,Gurgaon,KJS Group,Private Equity,"50,00,000"
Online Fashion Aggregator,,Mumbai,Undisclosed Investors,Seed Funding,"2,50,000"
Online Job skills Showcase,,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"2,70,000"
Online News Media,,Bangalore,Mohandas Pai,Seed Funding,
Enterprise Communication Platform,,Ahmedabad,Samir Shah,Seed Funding,
Offline Tea Chain,,New Delhi,Tiger Global Management,Private Equity,"10,00,000"
Business Messaging App,,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000"
Health Mobile App,,Bangalore,Subhash Goyal,Seed Funding,"4,70,000"
Online Ed-Tech Platform,,Noida,Peesh Venture Capital,Seed Funding,"10,00,000"
Online Travel Planning,,,MakeMyTrip Innovation Fund,Private Equity,
Hyperlocal Mobile Marketplace,,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"55,00,000"
Trucking Logistic Operations,,Gurgaon,SAIF partners,Private Equity,"1,00,00,000"
B2C Messaging App,,Bangalore,Biz Stone,Private Equity,"30,00,000"
Rooftop Solar Plants,,New Delhi,Sunergy Investors,Private Equity,
Customer Engagement Platform,,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"6,25,000"
Online Car Portal,,Jaipur,HDFC Bank,Private Equity,
Online Table Reservation,,Bangalore,Sandiep Shrivatsava,Seed Funding,"5,00,000"
Online Payment Gateway,,Bangalore,Punit Soni,Seed Funding,
Parents focused Web Content,,Bangalore,i2india Ventures,Seed Funding,"5,00,000"
Payments Solution Provider,,New Delhi,Jan Manten,Seed Funding,
On-demand Service marketplace,,Bangalore,Nirvana Venture Advisors,Private Equity,"20,00,000"
On-Demand Business messaging,,Bangalore,Manipal Group,Seed Funding,"2,00,000"
Online Home D\\xc3\\xa9cor,,Hyderabad,Astarc Ventures,Private Equity,"10,00,000"
API Workflow platform,,Bangalore,Nexus Venture Partners,Seed Funding,"10,00,000"
Affordable Hotel Booking Online,,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000"
Logistics Intelligence,,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000"
Last Mile Logistics,,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000"
Self-driven Car rental,,Bangalore,Sequoia Capital,Private Equity,"50,00,000"
Weight Management Service,,Hyderabad,Kalaari Capital,Private Equity,
Electric Scooter Manufacturer,,Bangalore,Tiger Global,Private Equity,"1,20,00,000"
Online Food Delivery,,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"20,00,000"
Web Content Publishing,,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"2,00,000"
Location Based App,,Dallas / Hyderabad,,Seed Funding,"10,00,000"
Video Streaming,,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"1,20,000"
Price Comparison,,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"1,65,000"
Online Classifieds,,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"15,00,00,000"
Travel Entertainment,,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"22,00,000"
Logistics Tech,,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,
eCommerce,,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,"1,00,00,000"
Digital / Mobile Wallet,,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"2,50,00,000"
Cab Aggregator,,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"40,00,00,000"
Device Repair Svcs,,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,"2,00,000"
Premium Beverages,,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"20,00,000"
Digital / Mobile Wallet,,Kolkata,Hyderabad based investor,Seed Funding,"1,65,000"
Online Furnishing\\neCommerce,,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"5,00,00,000"
Ed-Tech,,Mumbai,"Matrix Partners India, India Quotient",Private Equity,
Interactive\\xc2\\xa0 How-To Guides,,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"9,00,000"
Mobile Health Tech,,Chennai,Unitus Seed Fund,Seed Funding,
Restaurant Reviews,,Gurgaon,Info Edge (India),Private Equity,"2,50,00,000"
Online Grocer,,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"1,00,00,000"
Ed-Tech,,New Delhi,"Ajay Relan,",Seed Funding,"3,00,000"
Logistics Tech,,Mumbai,Kae Capital,Seed Funding,"5,00,000"
Online Hotel Booking,,Noida,Jungle Ventures,Seed Funding,"10,00,000"
Online Kitchen Furniture,,Bangalore,Accel Partners India,Seed Funding,"12,50,000"
Hyper-local Online Services,,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"50,00,000"
Hyper-Local Online/Mobile Grocery,,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"3,50,00,000"
Hyper-Local Online/Mobile Grocery,,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"1,00,00,000"
Online Policy Aggregator,,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"4,00,00,000"
Hyperlocal Mobile Services Marketplace,,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"16,00,000"
OnDemand\\nMobile Handyman Services,,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"12,00,000"
Mobile App Development,,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"1,20,00,000"
On-Demand Handyman Services,,Mumbai,Powai Lake Ventures,Seed Funding,
Beauty & Wellness Mobile App,,Gurgaon,YouWeCan Ventures,Seed Funding,
Material Collection & Recycling,,Vadodara,Agnus Capital,Private Equity,"40,00,000"
Online Pharmacy & Drug DB,,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"60,00,000"
Online / Mobile Customer Support,,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"5,00,00,000"
Online Classifieds & Listings,,Chennai,GIC ventures,Private Equity,"2,80,00,000"
Hyperlocal services marketplace,,New Delhi,The Phoenix Fund,Private Equity,
Fashion ECommerce,,Bangalore,Undisclosed Investor,Private Equity,"35,00,000"
Private Coaching Centers,,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"15,00,000"
Online Certification Courses,,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"1,50,00,000"
Ethnic Product eCommerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"1,80,00,000"
Last Minute Travel Deals mobile marketplace,,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"18,00,000"
usiness expense management,,Bangalore,AngelPrime,Seed Funding,"5,00,000"
Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"10,00,000"
Restaurant reservation app,,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,
Spam Call block App,,New Delhi,Lightspeed Ventures,Seed Funding,
